symbol,name,price_asof_date,asof_close,future_date,future_close,forward_return_20d
000001,平安银行,2026-05-20,10.43,2026-06-17,10.78,0.033557046979865834
000002,万科A,2026-05-20,3.6,2026-06-17,3.09,-0.14166666666666672
000063,中兴通讯,2026-05-20,37.18,2026-06-17,37.64,0.012372243141473893
000100,TCL科技,2026-05-20,4.15,2026-06-17,5.12,0.23373493975903603
000157,中联重科,2026-05-20,7.25,2026-06-17,7.63,0.05241379310344829
000166,申万宏源,2026-05-20,4.47,2026-06-17,4.57,0.022371364653243964
000301,东方盛虹,2026-05-20,12.72,2026-06-17,12.27,-0.03537735849056611
000333,美的集团,2026-05-20,81.5,2026-06-17,79.22,-0.027975460122699358
000338,潍柴动力,2026-05-20,32.61,2026-06-17,29.28,-0.10211591536338538
000408,藏格矿业,2026-05-20,79.91,2026-06-17,77.18,-0.03416343386309584
000425,徐工机械,2026-05-20,9.48,2026-06-17,9.25,-0.02426160337552752
000538,云南白药,2026-05-20,50.78,2026-06-17,48.91,-0.03682552185899968
000568,泸州老窖,2026-05-20,92.2,2026-06-17,82.94,-0.10043383947939266
000596,古井贡酒,2026-05-20,96.07,2026-06-17,84.06,-0.1250130113458935
000617,中油资本,2026-05-20,8.56,2026-06-17,7.31,-0.1460280373831777
000625,长安汽车,2026-05-20,8.48,2026-06-17,7.39,-0.1285377358490567
000630,铜陵有色,2026-05-20,5.87,2026-06-17,7.56,0.2879045996592844
000651,格力电器,2026-05-20,39.51,2026-06-17,37.15,-0.059731713490255633
000657,中钨高新,2026-05-20,55.18,2026-06-17,89.53,0.6225081551286697
000708,中信特钢,2026-05-20,14.17,2026-06-17,13.61,-0.03952011291460833
000725,京东方A,2026-05-20,4.22,2026-06-17,6.65,0.575829383886256
000768,中航西飞,2026-05-20,22.74,2026-06-17,21.14,-0.07036059806508344
000776,广发证券,2026-05-20,19.43,2026-06-17,21.42,0.10241893978383954
000792,盐湖股份,2026-05-20,32.86,2026-06-17,30.87,-0.06055995130858183
000807,云铝股份,2026-05-20,30.03,2026-06-17,25.0,-0.1674991674991675
000858,五 粮 液,2026-05-20,85.47,2026-06-17,77.49,-0.09336609336609336
000895,双汇发展,2026-05-20,26.28,2026-06-17,23.05,-0.12290715372907157
000938,紫光股份,2026-05-20,32.13,2026-06-17,27.21,-0.1531279178338002
000963,华东医药,2026-05-20,29.02,2026-06-17,27.7,-0.045485871812543044
000975,山金国际,2026-05-20,23.65,2026-06-17,21.88,-0.07484143763213524
000977,浪潮信息,2026-05-20,71.23,2026-06-17,64.5,-0.09448266179980347
000988,华工科技,2026-05-20,163.15,2026-06-17,170.51,0.045111860251302316
000999,华润三九,2026-05-20,24.09,2026-06-17,23.79,-0.012453300124533051
001391,国货航,2026-05-20,5.26,2026-06-17,4.53,-0.1387832699619771
001965,招商公路,2026-05-20,9.91,2026-06-17,9.8,-0.011099899091826404
001979,招商蛇口,2026-05-20,8.94,2026-06-17,7.53,-0.15771812080536907
002001,新和成,2026-05-20,30.4,2026-06-17,28.5,-0.0625
002027,分众传媒,2026-05-20,5.66,2026-06-17,5.12,-0.09540636042402828
002028,思源电气,2026-05-20,205.3,2026-06-17,186.93,-0.08947881149537262
002049,紫光国微,2026-05-20,81.3,2026-06-17,80.0,-0.01599015990159902
002050,三花智控,2026-05-20,50.55,2026-06-17,44.6,-0.11770524233432234
002074,国轩高科,2026-05-20,36.12,2026-06-17,30.12,-0.1661129568106311
002142,宁波银行,2026-05-20,31.31,2026-06-17,31.44,0.004152028106036543
002179,中航光电,2026-05-20,40.9,2026-06-17,38.82,-0.050855745721271384
002202,金风科技,2026-05-20,25.3,2026-06-17,21.98,-0.13122529644268777
002230,科大讯飞,2026-05-20,48.0,2026-06-17,41.59,-0.13354166666666656
002236,大华股份,2026-05-20,17.65,2026-06-17,16.31,-0.0759206798866856
002241,歌尔股份,2026-05-20,24.91,2026-06-17,23.68,-0.04937775993576876
002304,洋河股份,2026-05-20,44.85,2026-06-17,42.08,-0.06176142697881837
002311,海大集团,2026-05-20,43.92,2026-06-17,41.58,-0.05327868852459028
002352,顺丰控股,2026-05-20,35.72,2026-06-17,32.2,-0.09854423292273229
002353,杰瑞股份,2026-05-20,135.4,2026-06-17,157.65,0.16432791728212703
002371,北方华创,2026-05-20,656.0,2026-06-17,704.22,0.07350609756097559
002384,东山精密,2026-05-20,223.0,2026-06-17,256.92,0.1521076233183858
002415,海康威视,2026-05-20,32.55,2026-06-17,32.36,-0.005837173579108956
002422,科伦药业,2026-05-20,31.96,2026-06-17,35.62,0.11451814768460555
002460,赣锋锂业,2026-05-20,77.17,2026-06-17,71.32,-0.07580666061941177
002463,沪电股份,2026-05-20,103.58,2026-06-17,146.55,0.4148484263371308
002466,天齐锂业,2026-05-20,68.16,2026-06-17,64.04,-0.06044600938967126
002475,立讯精密,2026-05-20,70.07,2026-06-17,67.32,-0.039246467817896424
002493,荣盛石化,2026-05-20,12.03,2026-06-17,11.9,-0.010806317539484578
002532,天山铝业,2026-05-20,15.55,2026-06-17,12.55,-0.19292604501607713
002558,巨人网络,2026-05-20,27.77,2026-06-17,24.09,-0.13251710478934098
