rank,symbol,name,industry,composite_score,momentum_20d,pe_percentile,pb_percentile,roe,gross_margin,revenue_growth_yoy,net_profit_growth_yoy,volatility_60d
1,002558,巨人网络,unknown,1.0439396647751842,-0.0425693652603571,0.3417305585980285,0.8030634573304157,6.81,95.377689,2.217004406829204,2.105778080960714,0.5045540373433941
2,688111,金山办公,unknown,0.9813793594418134,-0.1219124480313035,0.0021881838074398,0.0021881838074398,15.7,86.593651,0.2395402490296936,4.449659523721703,0.4566819134499833
3,300308,中际旭创,unknown,0.9432974699885476,0.1985452881976213,0.9890470974808324,0.9967141292442496,17.54,46.058133,1.921169094232574,2.6228365713294144,0.6096266855938051
4,002709,天赐材料,unknown,0.8581299774776465,0.0182777463727152,0.5207877461706784,0.5312157721796276,8.84,38.65346,0.9129078266885278,10.057510118643863,0.6149833607352907
5,600519,贵州茅台,unknown,0.8534290946646157,-0.0493280866021713,0.0010952902519167,0.0010952902519167,10.57,89.759217,0.063360092771233,0.0147141829498314,0.2170822914486964
6,601066,中信建投,unknown,0.842146542404446,0.2832962138084631,0.2286652078774617,0.4978118161925601,4.02,60.636339,0.6226498155531204,0.9902937757158304,0.3861629408649641
7,002466,天齐锂业,unknown,0.8397944433555818,-0.0802459877006149,0.968236582694414,0.5962800875273523,4.31,62.65606,0.9843829227260856,16.991224018669723,0.5221983178102712
8,600221,海航控股,unknown,0.8260186128452159,-0.0529801324503311,0.664841182913472,0.3008752735229759,28.1,11.865639,0.0495465135840258,5.336286241065985,0.2943084193456718
9,300059,东方财富,unknown,0.8187772232674561,0.0518369401107194,0.161925601750547,0.274617067833698,3.99,85.70517,0.4433801552734964,0.3766989204629791,0.4147642090280993
10,000776,广发证券,unknown,0.8059238734245973,0.2273684210526316,0.0799561883899233,0.8107221006564551,3.32,53.447282,0.64334766481177,0.707328073430963,0.3752532689002741
11,000657,中钨高新,unknown,0.7309106239729644,0.5963245600373774,1.0,1.0,9.03,30.450264,1.0647162841370146,2.64444359498522,0.7694247414352099
12,601995,中金公司,unknown,0.6788569465332098,0.0417647058823529,0.0317286652078774,0.1586433260393873,3.35,50.580742,0.5426139123898579,0.7519470039139868,0.24666209210103
13,600809,山西汾酒,unknown,0.6687779820546897,-0.1512088937261912,0.0021881838074398,0.0010952902519167,12.57,75.046836,-0.0968014975921106,-0.1902985253458503,0.2637236851386452
14,600549,厦门钨业,unknown,0.6574595326698631,0.6565832848555362,0.9857768052516412,1.0,6.24,21.003788,0.8699074166140104,1.8913564286121216,0.7371768599891213
15,600030,中信证券,unknown,0.5936978235569305,0.0989522700814902,0.1301969365426696,0.5553121577217963,3.46,57.093996,0.4091381560472926,0.5460182246042824,0.3031569422448498
16,600276,恒瑞医药,unknown,0.5800718012984752,-0.0050782043469429,0.049234135667396,0.0273522975929978,4.15,86.598607,0.1297536297930368,0.2178231694834509,0.3563789259073084
17,002027,分众传媒,unknown,0.5738338736473241,-0.1070780399274047,0.4277899343544857,0.0919037199124726,12.13,68.740819,0.0200926917014121,0.5764605334981621,0.2655301917454705
18,603986,兆易创新,unknown,0.5635113667300963,0.2450033990482665,0.9321663019693656,1.0,6.12,57.076718,1.193786758368052,5.227881381914544,0.7632061182661685
19,601878,浙商证券,unknown,0.5534544079618385,0.0178947368421051,0.0536105032822757,0.0415754923413566,2.02,43.471174,0.4081602778750193,0.3520165672113251,0.2433204522052434
20,600887,伊利股份,unknown,0.5328514109180148,-0.0362490149724191,0.049234135667396,0.0175054704595186,9.44,38.374706,0.0547189730083519,0.1067985066148442,0.1957476639689529
21,600999,招商证券,unknown,0.5303331338726996,0.1485714285714285,0.3829321663019693,0.8019693654266958,2.54,54.776452,0.4795847326766156,0.4172841360432298,0.2602559432600467
22,000568,泸州老窖,unknown,0.5291052792751376,-0.1413173652694609,0.008762322015334,0.0010952902519167,7.32,85.817777,-0.1418913447396839,-0.1925478672546567,0.2308872108148673
23,600061,国投资本,unknown,0.5234400321141366,0.0404984423676011,0.2814895947426067,0.08105147864184,1.39,67.839446,0.3181142026793644,0.126276557011598,0.2573890290493164
24,000166,申万宏源,unknown,0.5211135767228625,0.0359550561797752,0.0306345733041575,0.024070021881838,2.08,55.146892,0.1171766856374336,0.1915405509848056,0.2225279543872531
25,000792,盐湖股份,unknown,0.494898232132434,-0.0906533291653641,0.4403066812705367,0.4737417943107221,6.54,68.722459,0.9489197680942416,1.5478404989642418,0.4561527528794759
26,000001,平安银行,unknown,0.49264094502900757,0.0357833655705996,0.199124726477024,0.0043763676148796,2.83,71.910876,0.0465157673025007,0.0302922814982973,0.1747047458799972
27,000858,五 粮 液,unknown,0.48703632380469253,-0.1114808652246255,0.5651697699890471,0.0010952902519167,6.5,81.434385,0.3366696360864269,0.8256778567096432,0.2059503183175123
28,000999,华润三九,unknown,0.4780984151396278,0.000839983200336,0.0010940919037199,0.0262582056892779,4.74,57.679586,0.1862043421006369,-0.1529168597975589,0.1973259471302147
29,601901,方正证券,unknown,0.4771692503530558,-0.005641748942172,0.0426695842450765,0.0557986870897155,2.88,54.731855,0.1469523889607724,0.2434651359363187,0.2287118555217701
30,601788,光大证券,unknown,0.4768656612760789,0.0474528960223308,0.1170678336980306,0.0831509846827133,1.74,49.72509,0.2310068939221075,0.4234494978328158,0.2551285805552316
